"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	293	4430141	6.6
	"1999"	"1999"	"Alaska"	"02"	27	624779	4.3
	"1999"	"1999"	"Arizona"	"04"	303	5023823	6.0
	"1999"	"1999"	"Arkansas"	"05"	118	2651860	4.4
	"1999"	"1999"	"California"	"06"	1380	33499204	4.1
	"1999"	"1999"	"Colorado"	"08"	121	4226018	2.9
	"1999"	"1999"	"Connecticut"	"09"	84	3386401	2.5
	"1999"	"1999"	"Delaware"	"10"	18	774990	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	145	570213	25.4
	"1999"	"1999"	"Florida"	"12"	545	15759421	3.5
	"1999"	"1999"	"Georgia"	"13"	438	8045965	5.4
	"1999"	"1999"	"Hawaii"	"15"	19	1210300	Unreliable
	"1999"	"1999"	"Idaho"	"16"	16	1275674	Unreliable
	"1999"	"1999"	"Illinois"	"17"	689	12359020	5.6
	"1999"	"1999"	"Indiana"	"18"	271	6044969	4.5
	"1999"	"1999"	"Iowa"	"19"	28	2917634	1.0
	"1999"	"1999"	"Kansas"	"20"	88	2678338	3.3
	"1999"	"1999"	"Kentucky"	"21"	142	4018053	3.5
	"1999"	"1999"	"Louisiana"	"22"	342	4460811	7.7
	"1999"	"1999"	"Maine"	"23"	15	1266808	Unreliable
	"1999"	"1999"	"Maryland"	"24"	396	5254509	7.5
	"1999"	"1999"	"Massachusetts"	"25"	71	6317345	1.1
	"1999"	"1999"	"Michigan"	"26"	516	9897116	5.2
	"1999"	"1999"	"Minnesota"	"27"	54	4873481	1.1
	"1999"	"1999"	"Mississippi"	"28"	214	2828408	7.6
	"1999"	"1999"	"Missouri"	"29"	244	5561948	4.4
	"1999"	"1999"	"Montana"	"30"	17	897507	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	29	1704764	1.7
	"1999"	"1999"	"Nevada"	"32"	100	1934718	5.2
	"1999"	"1999"	"New Jersey"	"34"	153	8359592	1.8
	"1999"	"1999"	"New Mexico"	"35"	91	1808082	5.0
	"1999"	"1999"	"New York"	"36"	540	18882725	2.9
	"1999"	"1999"	"North Carolina"	"37"	459	7949361	5.8
	"1999"	"1999"	"Ohio"	"39"	256	11335454	2.3
	"1999"	"1999"	"Oklahoma"	"40"	150	3437147	4.4
	"1999"	"1999"	"Oregon"	"41"	60	3393941	1.8
	"1999"	"1999"	"Pennsylvania"	"42"	428	12263805	3.5
	"1999"	"1999"	"Rhode Island"	"44"	21	1040402	2.0
	"1999"	"1999"	"South Carolina"	"45"	223	3974682	5.6
	"1999"	"1999"	"Tennessee"	"47"	286	5638706	5.1
	"1999"	"1999"	"Texas"	"48"	794	20558220	3.9
	"1999"	"1999"	"Utah"	"49"	30	2203482	1.4
	"1999"	"1999"	"Virginia"	"51"	280	7000174	4.0
	"1999"	"1999"	"Washington"	"53"	108	5842564	1.8
	"1999"	"1999"	"West Virginia"	"54"	62	1811799	3.4
	"1999"	"1999"	"Wisconsin"	"55"	128	5332666	2.4
	"2000"	"2000"	"Alabama"	"01"	294	4447100	6.6
	"2000"	"2000"	"Alaska"	"02"	16	626932	Unreliable
	"2000"	"2000"	"Arizona"	"04"	274	5130632	5.3
	"2000"	"2000"	"Arkansas"	"05"	140	2673400	5.2
	"2000"	"2000"	"California"	"06"	1483	33871648	4.4
	"2000"	"2000"	"Colorado"	"08"	84	4301261	2.0
	"2000"	"2000"	"Connecticut"	"09"	61	3405565	1.8
	"2000"	"2000"	"District of Columbia"	"11"	138	572059	24.1
	"2000"	"2000"	"Florida"	"12"	467	15982378	2.9
	"2000"	"2000"	"Georgia"	"13"	442	8186453	5.4
	"2000"	"2000"	"Idaho"	"16"	14	1293953	Unreliable
	"2000"	"2000"	"Illinois"	"17"	674	12419293	5.4
	"2000"	"2000"	"Indiana"	"18"	218	6080485	3.6
	"2000"	"2000"	"Iowa"	"19"	25	2926324	0.9
	"2000"	"2000"	"Kansas"	"20"	101	2688418	3.8
	"2000"	"2000"	"Kentucky"	"21"	133	4041769	3.3
	"2000"	"2000"	"Louisiana"	"22"	427	4468976	9.6
	"2000"	"2000"	"Maine"	"23"	11	1274923	Unreliable
	"2000"	"2000"	"Maryland"	"24"	353	5296486	6.7
	"2000"	"2000"	"Massachusetts"	"25"	67	6349097	1.1
	"2000"	"2000"	"Michigan"	"26"	504	9938444	5.1
	"2000"	"2000"	"Minnesota"	"27"	77	4919479	1.6
	"2000"	"2000"	"Mississippi"	"28"	214	2844658	7.5
	"2000"	"2000"	"Missouri"	"29"	273	5595211	4.9
	"2000"	"2000"	"Montana"	"30"	17	902195	Unreliable
	"2000"	"2000"	"Nebraska"	"31"	41	1711263	2.4
	"2000"	"2000"	"Nevada"	"32"	89	1998257	4.5
	"2000"	"2000"	"New Jersey"	"34"	172	8414350	2.0
	"2000"	"2000"	"New Mexico"	"35"	99	1819046	5.4
	"2000"	"2000"	"New York"	"36"	602	18976457	3.2
	"2000"	"2000"	"North Carolina"	"37"	458	8049313	5.7
	"2000"	"2000"	"Ohio"	"39"	253	11353140	2.2
	"2000"	"2000"	"Oklahoma"	"40"	115	3450654	3.3
